運作場所管制編號,TWD97_X,TWD97_Y,破孔機率,BUFFER,危害結果
F0701702,290841.213,2762902.862,0.00863,45,0.00038835
F0701702,290841.213,2762902.862,0.00863,48,0.00041424
F0701702,290841.213,2762902.862,0.00863,48,0.00041424
F0701702,290841.213,2762902.862,0.00863,51,0.00044013
F0701702,290841.213,2762902.862,0.00863,51,0.00044013
F0701702,290841.213,2762902.862,0.00863,72,0.00062136
F1606662,291710.561,2770855.799,0.000955,11,0.000010505
F1302605,292506.12,2762092.836,0.00863,11,0.00009493
F0701613,291368.802,2763624.787,0.00863,74,0.00063862
F1606662,291710.561,2770855.799,0.000955,11,0.000010505
F0701702,290841.213,2762902.862,0.00863,41,0.00035383
F0620088,293865.014,2766677.811,0.00863,61,0.00052643
F0701702,290841.213,2762902.862,0.00863,167,0.00144121
F0701613,291368.802,2763624.787,0.00863,11,0.00009493
F0720047,292479.518,2766026.063,0.00863,11,0.00009493
F07A0590,292483.882,2766019.842,0.00863,11,0.00009493
F0701702,290841.213,2762902.862,0.00863,11,0.00009493
F0701702,290841.213,2762902.862,0.00863,11,0.00009493
F0701702,290841.213,2762902.862,0.00863,11,0.00009493
F0701702,290841.213,2762902.862,0.00863,11,0.00009493
F0701702,290841.213,2762902.862,0.00863,11,0.00009493
F0701702,290841.213,2762902.862,0.00863,11,0.00009493
F0701702,290841.213,2762902.862,0.00863,11,0.00009493
F0701702,290841.213,2762902.862,0.00863,11,0.00009493
F0701702,290841.213,2762902.862,0.00863,11,0.00009493
F0701702,290841.213,2762902.862,0.00863,11,0.00009493
F0701702,290841.213,2762902.862,0.00863,11,0.00009493
F0701702,290841.213,2762902.862,0.00863,11,0.00009493
F1300209,292595.152,2761178.882,0.00863,11,0.00009493
F0701702,290841.213,2762902.862,0.00863,201,0.00173463
F0709833,293106.647,2766580.847,0.00863,13,0.00011219
F1107468,318428.723,2774162.049,0.00863,11,0.00009493
F1008648,298601.545,2791627.924,0.00863,11,0.00009493
F09A2180,290358.52,2758766.58,0.00863,11,0.00009493
F11A2134,315389.193,2775168.836,0.00863,11,0.00009493
F0905139,292263.95,2758262.583,0.00863,11,0.00009493
F09A7467,292292.423,2758273.335,0.00863,11,0.00009493
F0709280,291317.974,2766125.143,0.00863,11,0.00009493
F09A3257,292725.715,2757181.259,0.00863,11,0.00009493
F0709226,292396.038,2765968.777,0.00863,11,0.00009493
F0100250,297507.349,2767668.532,0.00863,11,0.00009493
F08A6345,283252.141,2761024.669,0.00863,11,0.00009493
F0701613,291368.802,2763624.787,0.00863,11,0.00009493
F1007141,294762.423,2788662.839,0.00863,12,0.00010356
F0701702,290841.213,2762902.862,0.00863,11,0.00009493
F0709833,293106.647,2766580.847,0.00863,11,0.00009493
F08A6345,283252.141,2761024.669,0.00863,11,0.00009493
F1107468,318428.723,2774162.049,0.00863,11,0.00009493
F1008648,298601.545,2791627.924,0.00863,11,0.00009493
F09A2180,290358.52,2758766.58,0.00863,11,0.00009493
F1005076,296037.043,2792085.828,0.00863,11,0.00009493
F11A2134,315389.193,2775168.836,0.00863,11,0.00009493
F1300209,292595.152,2761178.882,0.00863,11,0.00009493
F06B8487,293721.609,2767283.973,0.00863,11,0.00009493
F0905139,292263.95,2758262.583,0.00863,11,0.00009493
F09A7467,292292.423,2758273.335,0.00863,11,0.00009493
F0709280,291317.974,2766125.143,0.00863,11,0.00009493
F09A3257,292725.715,2757181.259,0.00863,11,0.00009493
F0709226,292396.038,2765968.777,0.00863,11,0.00009493
F0100250,297507.349,2767668.532,0.00863,11,0.00009493
F0701702,290841.213,2762902.862,0.00863,126,0.00108738
F0701702,290841.213,2762902.862,0.00863,11,0.00009493
F0701613,291368.802,2763624.787,0.00863,11,0.00009493
F1606662,291710.561,2770855.799,0.000955,11,0.000010505
F1606662,291710.561,2770855.799,0.000955,52,0.00004966
F2700016,311823.979,2790119.679,0.00863,11,0.00009493
F2100061,300204.879,2794581.779,0.00863,11,0.00009493
F0701702,290841.213,2762902.862,0.00863,10,0.0000863
F2306652,293273.956,2783562.796,0.00863,2100,0.018123
F0701613,291368.802,2763624.787,0.00863,11,0.00009493
F1500594,294508.028,2775591.767,0.0103,14,0.0001442
F0701613,291368.802,2763624.787,0.00863,11,0.00009493
F0622395,293878.25,2767377.254,0.00863,25,0.00021575
F1606662,291710.561,2770855.799,0.000955,102,0.00009741
F1606662,291710.561,2770855.799,0.000955,140,0.0001337
F0622395,293878.25,2767377.254,0.0103,11,0.0001133
F0800317,285480.495,2761087.157,0.00863,11,0.00009493
F0622439,293355.538,2769406.495,0.0103,11,0.0001133
F0622439,293355.538,2769406.495,0.0103,11,0.0001133
F1007141,294762.423,2788662.839,0.0103,10,0.000103
F0100250,297507.349,2767668.532,0.00863,11,0.00009493
F1100834,318197.043,2774057.728,0.00863,68,0.00058684
F1100834,318197.043,2774057.728,0.00863,68,0.00058684
F1606662,291710.561,2770855.799,0.000955,191,0.000182405
F0501757,303168.516,2759580.788,0.000955,294,0.00028077
F0900849,286000.761,2759213.765,0.000955,873,0.000833715
F2306652,293273.956,2783562.796,0.00863,2000,0.01726
F17A1304,290665.644,2774939.571,0.00863,0,0
F0600666,293792.134,2768745.319,0.00863,0,0
F0700509,291622.848,2767981.722,0.00863,0,0
F0700509,291622.848,2767981.722,0.00863,0,0
F05A9116,299632.44,2760022.154,0.00863,0,0
F05A9116,299632.44,2760022.154,0.00863,0,0
F1007141,294762.423,2788662.839,0.00863,0,0
F0603470,296882.009,2770576.051,0.00863,0,0
F0603470,296882.009,2770576.051,0.00863,0,0
F17A1304,290665.644,2774939.571,0.00863,0,0
F0500830,299260.283,2760360.231,0.00863,0,0
F0500787,306459.875,2760761.921,0.00863,0,0
F1005076,296037.043,2792085.828,0.00863,43,0.00037109
F1007141,294762.423,2788662.839,0.00863,11,0.00009493
F0701613,291368.802,2763624.787,0.00863,11,0.00009493
F0211758,297715.288,2771300.22,0.0103,96,0.0009888
F0211758,297715.288,2771300.22,0.0103,91,0.0009373
F0211758,297715.288,2771300.22,0.0103,134,0.0013802
F15A3875,295258.996,2773451.1,0.000955,10,0.00000955
F05B6565,305841.353,2763443.186,0.000955,11,0.000010505
F1116823,312763.875,2773593.864,0.000955,16,0.00001528
F1005076,296037.043,2792085.828,0.000955,107,0.000102185
F1116823,312763.875,2773593.864,0.000955,107,0.000102185
F1500594,294508.028,2775591.767,0.0103,33,0.0003399
F0622395,293878.25,2767377.254,0.0103,33,0.0003399
F1100834,318197.043,2774057.728,0.0103,36,0.0003708
F1100834,318197.043,2774057.728,0.0103,36,0.0003708
F0701702,290841.213,2762902.862,0.00863,305,0.00263215
F0701702,290841.213,2762902.862,0.00863,380,0.0032794
F0701702,290841.213,2762902.862,0.00863,492,0.00424596
F0701702,290841.213,2762902.862,0.00863,10000,0.0863
F1706096,290954.652,2774278.66,0.00863,11,0.00009493
F1606662,291710.561,2770855.799,0.000955,111,0.000106005
F1606662,291710.561,2770855.799,0.000955,119,0.000113645
F1606662,291710.561,2770855.799,0.000955,330,0.00031515
F1606662,291710.561,2770855.799,0.000955,85,0.000081175
